id,name,website
191,"KaliMai Jeans House",
192,"Fancy glasses hut",fancyglasseshut.com
193,"Bajracharya brothers jeweler",Bajracharyabrothersjeweler.com
194,"KTM Fashion House Demo",
195,"Khatiwada fashion cormer",
196,"B&S trade supplier ",
197,"Gahana Stores",www.gahanastores.com
198,"OPERA GIRLS HOSTEL NEW BANESHWOR",https://www.facebook.com/operagirlshostel
199,Test,
200,Test,
201,Test,
202,Test,
203,Test,
204,test,
205,Test,
206,Test,
208,Test,
209,"Khukuri house",
210,"Art and craft",
211,"Art house",
212,"The art house",
213,Arts,
214,"arts and crafts house",
215,dasdas,
216,"Mahalaxmi Engineering Concern",
217,Test,
218,"Testing the Arts section",
219,"Art House",
220,"test house",
221,"Khojam Online Shopping",https://www.khojam.com
222,"Ambikadevi suppliers ",
223,"Seed Financial Academy",https://seedfinancial.edu.np
224,"Universal Art Gallery",www.universalart.com.np
225,"Pentagram Technical Engineering Consultancy( PTEC) Pvt. Ltd.",
226,"Bigdata Solutions",
227,"Compass Engineering Consult P Ltd",
228,"Heaven Valley Travels & Tours P Ltd",
229,"Heaven Valley Travels & Tours P Ltd",
230,"New Tilganga Opticals",
231,"Opticals for you ",
232,"New Tilganga Opticals ",
233,"Saarika Bag House",
234,Test,
235,"Arts House",
236,"Arts House",
237,"Arts and arts",
238,"arts and arts",
239,"Center for Management, Accounting & Consultancy Pvt. Ltd.",cmacnepal.com.np
240,"Moneyplant Saving & Credit Co-operative Society Ltd",https://www.moneyplant.coop.np
241,"Moneyplant Saving & Credit Cooperative Ltd",https://www.moneyplant.coop.np/
242,"Kripa Collection",
243,"Om Shanti Auto parts ",
244,"Centre for Management Accounting and Consultancy P ltd",cmacnepal.com.np
245,"Centre for Management Accounting and Consultancy P ltd",https://www.cmacnepal.com
246,"Basuki  Suppliers",
247,"Euro Tours and Travel",
248,"Mahalaxmi Decor House ",
249,"Professional Home Decor",
250,"Namaste Mt. Everest Honey P Ltd",
251,"Prasiddhi Kastha Udyog & Prasiddhi Trade & Suppliers ",
252,"Prasiddhi Kastha Udyog & Prasiddhi Trade & Suppliers ",
253,"Gopal Iron Store",
254,"Thrive Management Advisory Solution ",
255,"Parbati Khaja Ghar",
256,"Chitwan Tailoring Center & Fancy Store ",www.chitwantailoringcenter.com
257,"Prasanga Cold Store",
258,"ASU Construction &Suppliers P Ltd",
259,"Action & Innovation for Engineering Solution(AIES) Put. Ltd",
260,"Nepal Environment and Engineering Consultancy Services P Ltd (NEECOS) ",
261,"Amisha Travels & Tours P Ltd",
262,"Kankai Hotel and Guest House ",
263,"Hotel Monsoon ",
264,"Ticktock Hookah ",
265,"Rameshworm Pharma ",
266,"North South Engineers and  Builders P Ltd",
267,"Sajha Super Mart",
268,"Auditors' Association of Nepal (AUDAN)",https://www.audan.org/
269,"Hotel Lira Pvt. Ltd. ",
270,"Hotel C. G. Pvt.  Ltd. ",
271,"City point travels & Tours P Ltd",
272,Test,
273,1988,
274,"Dreams Cafe ",
